schema_id,trial_id,programme_id,evidence_level,property_id,group,time,estimate,interval_low,interval_high,unit,independent_unit,estimator,uncertainty_method,denominator,observed,missing,missingness_disposition
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.mean,Control,,56.0,46.33607089421315,65.66392910578685,years,participant,arithmetic_mean,student_t_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.mean,Treatment,,57.666666666666664,47.56442904135278,67.76890429198055,years,participant,arithmetic_mean,student_t_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.mean,overall,,56.833333333333336,51.10005066121452,62.566616005452154,years,participant,arithmetic_mean,student_t_0.950,12,12,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.sd,Control,,9.20869154657707,5.748138953708053,22.58536570336137,years,participant,sample_standard_deviation,chi_square_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.sd,Treatment,,9.626352718795767,6.00884639963983,23.609727336818423,years,participant,sample_standard_deviation,chi_square_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.age.sd,overall,,9.023538243075297,6.392230735014751,15.320867225009446,years,participant,sample_standard_deviation,chi_square_0.950,12,12,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.bmi.mean,Control,,26.583333333333332,23.63487360221694,29.531793064449726,kg/m2,participant,arithmetic_mean,student_t_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.bmi.mean,Treatment,,27.05,23.987697172576272,30.11230282742373,kg/m2,participant,arithmetic_mean,student_t_0.950,6,6,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.bmi.mean,overall,,26.816666666666666,25.07456237367253,28.5587709596608,kg/m2,participant,arithmetic_mean,student_t_0.950,12,12,0,complete_case
trialagentbench.tidy_estimate/v1,trial-01,programme-a,participant_distribution,baseline.bmi.sd,Control,,2.8095669891758526,1.7537541975262434,6.890783299416217,kg/m2,participant,sample_standard_deviation,chi_square_0.950,6,6,0,complete_case
